from,to,type,entityName,defaultValue
code,code,DIRECT,,
name,name,DIRECT,,
description,description,DIRECT,,
geographicZone,geographicZone,TO_OBJECT_BY_CODE,GeographicZone,
facilityType,type,TO_OBJECT_BY_CODE,FacilityType,
facilityOperator,operator,TO_OBJECT_BY_CODE,FacilityOperator,
active,active,USE_DEFAULT,,true
goLiveDate,goLiveDate,DIRECT_DATE,,
enabled,enabled,USE_DEFAULT,,true
openLMISAccessible,openLmisAccessible,USE_DEFAULT,,true
active,supportedPrograms,TO_ARRAY_FROM_FILE_BY_ACTIVE,SupportedPrograms.csv,
